Salvia_nervata,Salvia_tortuosa,Salvia_purpurea
Salvia_nipponica,Salvia_plebeia,Nepetoideae_Salvia_trijuga
Salvia_nutans,Salvia_disermas,Salvia_amplexicaulis
Salvia_officinalis,Salvia_ringens,Salvia_cabulica
Salvia_pansamalensis,Salvia_tortuosa,Salvia_purpurea
Salvia_parryi,Salvia_tricuspidata,Salvia_fruticulosa
Salvia_pavonii,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_persepolitana,Salvia_moorcroftiana,Salvia_palaestina
Salvia_phlomoides,Salvia_montbretii,Salvia_moniliformis
Salvia_pichinchensis,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_pilifera,Salvia_ringens,Salvia_cabulica
Salvia_pinguifolia,Salvia_sessei,Salvia_pubescens
Salvia_pinnata,Salvia_ringens,Salvia_cabulica
Salvia_pisidica,Salvia_ringens,Salvia_cabulica
Salvia_poculata,Salvia_reuteriana,Salvia_argentea
Salvia_potentillifolia,Salvia_ringensens,Salvia_cabulica
Salvia_prasiifolia,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_pratensis,Salvia_austriaca,Salvia_austriaca
Salvia_przewalskii,Salvia_heterochroa,Salvia_bulleyana
Salvia_pulchella,Salvia_madrensis,Salvia_greggii
Salvia_pusilla,Salvia_clinopodioides,Salvia_prunelloides
Salvia_quercetorum,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_quezelii,Salvia_ringens,Salvia_cabulica
Salvia_ramosa,Salvia_flaccidifolia,Salvia_elegans
Salvia_recurva,Salvia_flaccidifolia,Salvia_elegans
Salvia_rhombifolia,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_rhytidea,Salvia_moorcroftiana,Salvia_palaestina
Salvia_rubescens,Salvia_coccinea,Salvia_thyrsiflora
Salvia_rufula,Salvia_tortuosa,Salvia_purpurea
Salvia_russellii,Salvia_taraxacifolia,Salvia_judaica
Salvia_scabiosifolia,Salvia_ringens,Salvia_cabulica
Salvia_scabrida,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_sclareoides,Salvia_amplexicaulis,Salvia_deserta
Salvia_setulosa,Salvia_mocinoi,Salvia_prunelloides
Salvia_sharpii,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_smyrnaea,Salvia_ringens,Salvia_cabulica
Salvia_speciosa,Salvia_hirtella,Salvia_oppositiflora
Salvia_stolonifera,Salvia_madrensis,Salvia_greggii
Salvia_suffruticosa,Salvia_ringens,Salvia_cabulica
Salvia_tchihatcheffii,Salvia_ringens,Salvia_cabulica
Salvia_tobeyi,Salvia_reuteriana,Salvia_argentea
Salvia_tolimensis,Salvia_tortuosa,Salvia_purpurea
Salvia_tomentella,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_trichoclada,Salvia_ringens,Salvia_cabulica
Salvia_tubiflora,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_urica,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_verticillata,Salvia_taraxacifolia,Salvia_judaica
Salvia_vitifolia,Salvia_patens,Salvia_cacaliifolia
Salvia_wagneriana,Salvia_madrensis,Salvia_greggii
Salvia_wiedemannii,Salvia_cabulica,Salvia_hydrangea
Salvia_xanthocheila,Salvia_verbascifolia,Salvia_atropatana
Symphorema_involucratum,Congea_forbesii,Congea_connata
Symphorema_luzonicum,Congea_velutina,Congea_siamensis
